team,wins,losses,ties,games,win_pct,owp,oowp,qualifying_wins,qualifying_losses,qualifying_ties,partial_wins,npi_rating
Baldwin Wallace University,0,1,2,3,0.3333333333333333,50.0,45.0,0,1,2,0,46.064774782532346
Alvernia University,0,1,1,2,0.25,100.0,12.5,0,1,1,0,45.89143718276809
Ripon College,0,2,1,3,0.16666666666666666,75.0,23.61111111111111,0,1,1,0,45.759987120847924
Regis College (Massachusetts),0,2,1,3,0.16666666666666666,25.0,53.333333333333336,0,2,1,0,45.72255835028685
Keuka College,1,2,0,3,0.3333333333333333,50.0,51.11111111111111,1,1,0,0,45.685197459984735
Allegheny College,0,2,1,3,0.16666666666666666,60.0,45.833333333333336,0,2,1,0,45.196807035563694
Lakeland University,0,1,1,2,0.25,16.666666666666664,62.5,0,1,1,0,45.13414293850373
Wilmington College (Ohio),1,1,1,3,0.5,0.0,56.94444444444445,1,1,1,0,44.95950145780487
North Park University,1,2,0,3,0.3333333333333333,33.33333333333333,55.55555555555555,1,1,0,0,44.87928282951603
Cornell College,1,1,0,2,0.5,50.0,41.66666666666667,1,1,0,0,44.86757770996617
Lasell University,0,0,1,1,0.5,0.0,100.0,0,0,1,0,44.824807345070326
Gwynedd Mercy University,1,2,0,3,0.3333333333333333,25.0,33.333333333333336,1,2,0,0,44.80523484230705
Bethany Lutheran College,0,2,0,2,0.0,75.0,45.0,0,1,0,0,44.760592641982676
Carthage College,1,2,0,3,0.3333333333333333,37.5,44.444444444444436,1,2,0,0,44.67482021553278
Juniata College,1,2,0,3,0.3333333333333333,25.0,33.333333333333336,1,2,0,0,44.66216564230451
Aurora University,0,2,0,2,0.0,100.0,41.666666666666664,0,1,0,0,44.59753880733688
King's College (Pennsylvania),1,2,0,3,0.3333333333333333,30.0,52.77777777777777,1,2,0,0,44.59531805502592
"Fairleigh Dickinson University, Florham",0,2,1,3,0.16666666666666666,33.33333333333333,44.444444444444436,0,2,1,0,44.563037521300316
Massachusetts College of Liberal Arts,0,1,0,1,0.0,100.0,100.0,0,1,0,0,44.4755004308518
Augsburg University,1,1,0,2,0.5,0.0,58.33333333333333,1,1,0,0,44.45466784445845
Meredith College,0,1,0,1,0.0,100.0,0.0,0,1,0,0,44.444687774295865
Pratt Institute,0,1,0,1,0.0,100.0,50.0,0,1,0,0,44.444687774295865
State University of New York at Old Westbury,0,1,0,1,0.0,100.0,50.0,0,1,0,0,44.444687774295865
